"Profit","orderDate"
3940.3599999999997,"2003-01-06"
5236.74,"2003-01-09"
2135.94,"2003-01-10"
18827.11,"2003-01-29"
15680.8,"2003-01-31"
21374.329999999998,"2003-02-11"
21298.22,"2003-02-17"
9307.77,"2003-02-24"
19871.439999999995,"2003-03-03"
11642.42,"2003-03-10"
20489.51,"2003-03-18"
3418.1800000000003,"2003-03-24"
6061.2699999999995,"2003-03-25"
4620.2,"2003-03-26"
12844.38,"2003-04-01"
7998.779999999999,"2003-04-04"
906.1200000000001,"2003-04-11"
17838.75,"2003-04-16"
1262.16,"2003-04-21"
14482.44,"2003-04-28"
18514.18,"2003-04-29"
7313.499999999998,"2003-05-07"
18285.770000000004,"2003-05-08"
6673.080000000001,"2003-05-20"
15749.46,"2003-05-21"
23565.18,"2003-05-28"
24097.07,"2003-06-03"
4664.75,"2003-06-06"
11138.16,"2003-06-12"
8563.140000000001,"2003-06-16"
921.6,"2003-06-25"
8844.85,"2003-06-27"
10946.75,"2003-07-01"
21908.969999999998,"2003-07-02"
5571.01,"2003-07-04"
12131.330000000002,"2003-07-07"
6232.26,"2003-07-10"
9880.380000000001,"2003-07-16"
15402.89,"2003-07-24"
11020.26,"2003-08-01"
22591.770000000004,"2003-08-08"
15435.359999999999,"2003-08-10"
467.79999999999984,"2003-08-13"
20680.690000000002,"2003-08-25"
3054.74,"2003-09-03"
12452.760000000002,"2003-09-05"
16644.53,"2003-09-11"
12938.779999999999,"2003-09-12"
14634.099999999997,"2003-09-19"
13394.98,"2003-09-21"
3308.17,"2003-09-25"
17427.47,"2003-09-28"
1788.7200000000003,"2003-10-02"
9223.320000000002,"2003-10-04"
12688.42,"2003-10-05"
25041.19,"2003-10-06"
1603.12,"2003-10-08"
6216.39,"2003-10-09"
24581.019999999997,"2003-10-10"
6329.860000000001,"2003-10-11"
13952.670000000002,"2003-10-17"
13543.25,"2003-10-18"
9122.07,"2003-10-20"
14300.61,"2003-10-21"
26465.57,"2003-10-22"
16394.26,"2003-10-23"
19310.15,"2003-10-28"
21160.05,"2003-11-04"
33688.01000000001,"2003-11-05"
39729.49999999999,"2003-11-06"
11714.6,"2003-11-07"
13549.969999999998,"2003-11-08"
26587.72,"2003-11-11"
40403.86999999999,"2003-11-12"
11976.300000000001,"2003-11-13"
48464.81999999999,"2003-11-14"
10210.62,"2003-11-15"
14464.2,"2003-11-18"
3908.9599999999996,"2003-11-19"
31483.7,"2003-11-20"
15018.820000000002,"2003-11-21"
31135.570000000003,"2003-11-25"
